In Airflow, what is the difference between a DAG and a DAG Run?	A DAG is the definition (the recipe) — a description that can never fail. A DAG Run is one actual execution of it for one data interval. States (success/failed/queued) belong to DAG Runs and Task Instances, never to the DAG or Task.
With LocalExecutor, which process actually executes your task code, and are there worker pods?	The scheduler itself — LocalExecutor forks task subprocesses inside the scheduler pod. There are no worker pods, so task memory comes out of the scheduler's limit and a fat task can OOM-kill the whole orchestrator.
Does the Airflow 2 webserver parse DAG files?	No. It renders the UI entirely from the serialized_dag table in the metadata DB. In this lab the DAG files are not even mounted into the webserver pod.
How can the scheduler schedule a PythonOperator task without being able to run its function?	Serialization stores structure only. A BashOperator's bash_command is a string and serializes; a Python callable cannot be serialized, so the scheduler knows the task exists but not its code. The task subprocess imports the DAG file to get the real function.
Difference between min_file_process_interval and dag_dir_list_interval?	min_file_process_interval (30s default here) = how often an already-known DAG file is re-parsed. dag_dir_list_interval (300s) = how often the folder is rescanned for new or removed files. A brand-new DAG can lag by minutes; airflow dags reserialize forces it.
Why must no real work (queries, API calls, file reads) live at module level in a DAG file?	Module-level code runs on every parse — every ~30s per file, forever, even while the DAG is paused — AND once more in each task subprocess, which re-imports the module to reach the callable.
For a scheduled @daily DAG, when does the run for Monday's data actually start, and why?	Just after midnight on Tuesday — at the END of its data interval. A day's data cannot be processed until the day is over.
What is logical_date, and why was its old name execution_date misleading?	It is the run's identity, equal to data_interval_start for scheduled runs. It is NOT the time of execution: the run for Monday has logical_date Monday but executes on Tuesday.
When do ds and data_interval_start disagree?	On a manual trigger. logical_date (and therefore ds) becomes "now", while data_interval stays the last complete interval. Triggering at 05:26 on Aug 27 gave ds=2026-08-27 but data_interval=[2026-08-26, 2026-08-27).
Which template variables should window a query, and why never ds?	data_interval_start / data_interval_end. They agree with ds on a schedule but diverge on a manual run — exactly when someone is re-running a failed day — so WHERE order_date = '{{ ds }}' silently pulls the wrong day.
Name three normal Airflow features that guarantee a task will run more than once.	Retries after a transient failure, clearing a Task Instance in the UI, and backfill. All three re-execute code that already partly ran, which is why idempotency is mandatory.
Why is a plain INSERT never idempotent, and what are two ClickHouse fixes?	Each re-run appends duplicates silently: 1 row, then 2 after a retry, then 3 after a clear, with no error. Fix by DROP PARTITION for the interval before inserting, or by loading into ReplacingMergeTree(version) so the newest row per key wins.
